date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-09-11,83.51,4099900000.0,4842300000.0,742400000.0,14330316000.0,3.495284275226225
2019-09-12,82.33,4099900000.0,4842300000.0,742400000.0,14127828000.0,3.445895753554965
2019-09-13,82.14,4099900000.0,4842300000.0,742400000.0,14095224000.0,3.437943364472304
2019-09-16,81.98,4099900000.0,4842300000.0,742400000.0,14067768000.0,3.4312466157711166
2019-09-17,80.95,4099900000.0,4842300000.0,742400000.0,13891020000.0,3.38813629600722
2019-09-18,80.24,4099900000.0,4842300000.0,742400000.0,13769184000.0,3.3584194736456987
2019-09-19,79.27,4099900000.0,4842300000.0,742400000.0,13602732000.0,3.3178204346447475
2019-09-20,79.75,4099900000.0,4842300000.0,742400000.0,13685100000.0,3.337910680748311
2019-09-23,79.84,4099900000.0,4842300000.0,742400000.0,13700544000.0,3.341677601892729
2019-09-24,79.72,4099900000.0,4842300000.0,742400000.0,13679952000.0,3.3366550403668382
2019-09-25,80.99,4099900000.0,4842300000.0,742400000.0,13897884000.0,3.3898104831825164
2019-09-26,80.36,4099900000.0,4842300000.0,742400000.0,13789776000.0,3.3634420351715897
2019-09-27,77.47,4099900000.0,4842300000.0,742400000.0,13293852000.0,3.242482011756384
2019-09-30,79.25,4099900000.0,4842300000.0,742400000.0,13599300000.0,3.316983341057099
2019-10-01,77.41,4099900000.0,4842300000.0,742400000.0,13283556000.0,3.2399707309934387
2019-10-02,75.43,4099900000.0,4842300000.0,742400000.0,12943788000.000002,3.1570984658162398
2019-10-03,77.27,4099900000.0,4842300000.0,742400000.0,13259532000.0,3.2341110758798997
2019-10-04,80.65,4099900000.0,4842300000.0,742400000.0,13839540000.000002,3.375579892192493
2019-10-07,80.88,4099900000.0,4842300000.0,742400000.0,13879008000.0,3.38520646845045
2019-10-08,79.0,4099900000.0,4842300000.0,742400000.0,13556400000.0,3.306519671211493
2019-10-09,80.71,4099900000.0,4842300000.0,742400000.0,13849835999.999998,3.3780911729554375
2019-10-10,84.89,4099900000.0,4842300000.0,742400000.0,14567124000.0,3.55304373277397
2019-10-11,85.4,4099900000.0,4842300000.0,742400000.0,14654640000.000002,3.574389619259007
