date,LDOS,dcf,Deviation
2012-12-12,28.27,29.944594594594594,-0.05592310122297939
2012-12-13,28.35,30.404594594594595,-0.06757513533694226
2012-12-14,28.81,30.454594594594596,-0.054001526419481416
2012-12-17,28.86,30.704594594594596,-0.06007552351527645
2012-12-18,29.11,30.384594594594596,-0.04194871156258062
2012-12-19,28.79,30.404594594594595,-0.05310363831924414
2012-12-20,28.81,29.894594594594594,-0.03628062562155321
2012-12-21,28.3,29.644594594594594,-0.045357159137530134
2012-12-24,28.05,29.194594594594594,-0.03920570264765777
2012-12-26,27.6,29.004594594594593,-0.048426623927243506
2012-12-27,27.41,28.974594594594596,-0.05399884334832006
